Número Processo -  Formatado;URL Portal Transparência;Data Criação Processo;Objeto Processo;URL Documentos Processo;Código Órgão/Entidade Pedido;Nome Órgão/Entidade Pedido;Situação Processo;Procedimento Contratação - Detalhamento 1;Número Contrato;Contrato_TermoAditivo Arquivos;Código Órgão/Entidade Contratante;Nome Órgão/Entidade Contratante;Data Publicação Contrato;Data Início Vigência Contrato;Data Limite Vigência Contrato;Data Término Vigência Contrato;CNPJ/CPF Fornecedor - Formatado;Nome Empresarial/Nome Fornecedor;Processo SEI;URL Processo SEI;Código Item Material/Serviço - Numérico;Item Material/Serviço;Código Unidade Orçamentária;Nome Unidade Orçamentária;Descrição Linha Fornecimento;Cidade Entrega Item;Quantidade Homologada;Valor Unitário Referência Item Processo;Valor Unitário Homologado Item Processo;Valor Total Referência Item Processo;Valor Total Homologado
0250073 000001/2020;NA;07/04/2020;Contratação de empresa especializada para instalação de centrais e redes de gases medicinais e fornecimento de acessórios de gasoterapia.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9245761;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162593;1250;POLICIA MILITAR DE MINAS GERAIS;10/04/2020;10/04/2020;;10/10/2020;35.820.448/0030-70;WHITE MARTINS GASES INDUSTRIAIS LTDA;NA;NA;1198;INSTALACAO DE SISTEMA DE CANALIZACAO DE  GASES MEDICINAIS/INDUSTRIAIS;1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;INSTALACAO E/OU MONTAGEM DE SISTEMAS CENTRALIZADOS DE GASES;Belo Horizonte                          ;0;780.098,10;780.098,10;780.098,10;780.098,10
0250073 000002/2020;NA;09/04/2020;Fornecimento de gases medicinais para o Hospital de Campanha de Minas Gerais.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9245765;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162594;1250;POLICIA MILITAR DE MINAS GERAIS;14/04/2020;14/04/2020;31/12/2020;14/10/2020;35.820.448/0030-70;WHITE MARTINS GASES INDUSTRIAIS LTDA;NA;NA;1083678;"OXIGENIO - TIPO: MEDICINAL LIQUEFEITO, GRAU DE PUREZA: MINIMO 99,5%; ARMAZENAMENTO: EM TANQUE CRIOGENICO DE OXIGENIO MEDICINAL; FORMULA MOLECULAR: O2; PESO MOLECULAR: 32,00; APARENCIA E ODOR: GAS INCOLOR E INODORO; FINALIDADE: RESP. HUMANA, OXIGENOTERAPIA, TERAPIA HIPERBARICA;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;COMBUSTIVEIS, LUBRIFICANTES E DERIVADOS;Belo Horizonte                          ;108.000,00;1,48;1,48;159.840,00;159.840,00
0250073 000002/2020;NA;09/04/2020;Fornecimento de gases medicinais para o Hospital de Campanha de Minas Gerais.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9245765;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162594;1250;POLICIA MILITAR DE MINAS GERAIS;14/04/2020;14/04/2020;31/12/2020;14/10/2020;35.820.448/0030-70;WHITE MARTINS GASES INDUSTRIAIS LTDA;NA;NA;1235680;"GASES MEDICINAIS - IDENTIFICACAO: NITROGENIO; CAS: 7727-37-9; ASPECTO: GAS LIQUEFEITO INCOLOR; COMPOSICAO: NITROGENIO (N2); CONCENTRACAO: MINIMA 99%; APRESENTACAO: CILINDRO;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;COMBUSTIVEIS, LUBRIFICANTES E DERIVADOS;Belo Horizonte                          ;48.000,00;1,41;1,41;67.680,00;67.680,00
0250073 000003/2020;NA;10/04/2020;Locação de tanques de criogênio (incluindo assistência técnica) e misturador de gases medicinais para o Hospital Campanha de Minas Gerais.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;35.820.448/0030-70;WHITE MARTINS GASES INDUSTRIAIS LTDA;NA;NA;15725;LOCACAO DE EQUIPAMENTOS PARA SISTEMA CENTRALIZADO DE GASES;1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;LOCACAO DE TANQUES, CILINDROS E EQUIPAMENTOS PARA SISTEMA CENTRALIZADODE GASES;Belo Horizonte                          ;0;5.970,00;995;5.970,00;995
0250073 000003/2020;NA;10/04/2020;Locação de tanques de criogênio (incluindo assistência técnica) e misturador de gases medicinais para o Hospital Campanha de Minas Gerais.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;35.820.448/0030-70;WHITE MARTINS GASES INDUSTRIAIS LTDA;NA;NA;42277;LOCACAO DE TANQUE CRIOGENICO;1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;LOCACAO DE EQUIPAMENTOS, ARTIGOS E MOBILIARIO HOSPITALAR, ODONTOLOGICOE LABORATORIAL;Belo Horizonte                          ;0;21.852,00;3.642,00;21.852,00;3.642,00
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;11754;"PARAFUSO SEXTAVADO - MATERIA-PRIMA: ACO GALVANIZADO; ROSCA: SOBERBA; MEDIDAS: 1/4 POLEGADA X 70MM;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;FERRAGENS, ABRASIVOS, MATERIAIS PARA VEDACAO E FIXACAO;Belo Horizonte                          ;40;0,45;0,45;18;18
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;62367;"DISJUNTOR PARA REDE ELETRICA - TIPO: TERMOMAGNETICO, CAP. INTERRUPCAO 6000 AMP. - 10KA; CORRENTE NOMINAL: 10 AMPERES; POLARIDADE: UNIPOLAR; TENSAO NOMINAL: 230/400 VOLTS - 50/60 HZ; FIXACAO: -;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS;Belo Horizonte                          ;1;8,8;8,8;8,8;8,8
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;65889;"ELETRODUTO - MATERIA-PRIMA: ACO GALVANIZADO; RIGIDEZ: RIGIDO ROSCAVEL; ACABAMENTO: LISO, SEM COSTURA; DIAMETRO: BITOLA DE 3/4 DE POLEGADA;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS;Belo Horizonte                          ;5;14;14;70;70
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;72354;"DISJUNTOR PARA REDE ELETRICA - TIPO: TERMOMAGNETICO, CAP. INTERRUPCAP 6000 AMP. - 10KA; CORRENTE NOMINAL: 32 AMPERES; POLARIDADE: UNIPOLAR; TENSAO NOMINAL: 230/400 VOLTS - 50/60 HZ; FIXACAO: -;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS;Belo Horizonte                          ;1;9;9;9;9
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;113328;"DISJUNTOR PARA REDE ELETRICA - TIPO: TERMOMAGNETICO, CAP. INTERRUPCAO 5KA; CORRENTE NOMINAL: 20 AMPERES; POLARIDADE: UNIPOLAR; TENSAO NOMINAL: 230/400 VOLTS - 50/60 HZ; FIXACAO: SOBRE TRILHOS;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS;Belo Horizonte                          ;1;8,8;8,8;8,8;8,8
